id	dur	peak	raw_rms10	db0	sil0	db1	sil1	db2	sil2
00_1027900_segment_3_0	30.040816326530614	0.989649772644043	0.19088135659694672	-14.739887237548828	0.0	-14.024572372436523	0.0	-13.206016540527344	0.0
00_1036200_segment_5_0	30.040816326530614	0.9944740533828735	0.2151450663805008	-13.742770195007324	0.0	-13.634775161743164	0.0	-13.409232139587402	0.0
00_1036800_segment_1_0	30.040816326530614	0.9068368077278137	0.21182292699813843	-13.076650619506836	0.0	-13.259916305541992	0.0	-15.221023559570312	0.0
00_1041500_segment_0_0	30.040816326530614	0.5822961926460266	0.08631601184606552	-17.026578903198242	0.15	-15.088047981262207	0.0	-14.124359130859375	0.0
00_1041500_segment_3_0	30.040816326530614	0.8253272771835327	0.13819222152233124	-15.968379974365234	0.0	-15.854235649108887	0.0	-15.83788013458252	0.0
00_1041500_segment_4_0	30.040816326530614	0.7397406697273254	0.13154985010623932	-15.445310592651367	0.0	-13.983829498291016	0.0	-14.052392959594727	0.0
00_1042000_segment_0_0	30.040816326530614	0.1922473907470703	0.005577791482210159	-31.19348907470703	0.28	-28.370752334594727	0.4	-23.613183975219727	0.0
00_1053400_segment_3_0	30.040816326530614	0.31532537937164307	0.09736020117998123	-10.653077125549316	0.0	-10.074667930603027	0.0	-9.633731842041016	0.0
00_1053500_segment_1_0	30.040816326530614	0.8600375652313232	0.06629959493875504	-22.705659866333008	0.03	-18.96282196044922	0.0	-19.817665100097656	0.02
00_1053500_segment_3_0	30.040816326530614	0.7732599377632141	0.07113822549581528	-21.16997718811035	0.03	-17.607738494873047	0.0	-21.029170989990234	0.02
00_1054100_segment_12_0	30.040816326530614	0.9858478307723999	0.1684509664773941	-15.792255401611328	0.0	-15.676379203796387	0.0	-16.776121139526367	0.01
00_1054100_segment_3_0	30.040816326530614	0.9706127643585205	0.13753430545330048	-17.418228149414062	0.0	-18.5259952545166	0.01	-18.009521484375	0.0
00_1054100_segment_8_0	30.040816326530614	0.9859465956687927	0.167364701628685	-15.849318504333496	0.0	-15.572748184204102	0.0	-15.725801467895508	0.0
00_1066200_segment_1_0	30.040816326530614	0.4600542187690735	0.06848312169313431	-16.990036010742188	0.0	-14.69184398651123	0.0	-14.605851173400879	0.0
00_1066200_segment_7_0	30.040816326530614	0.7775511145591736	0.16311900317668915	-14.010017395019531	0.0	-13.215951919555664	0.0	-13.360837936401367	0.0
00_1073700_segment_4_0	30.040816326530614	0.4211733937263489	0.12706473469734192	-10.85424518585205	0.0	-10.649148941040039	0.0	-10.674028396606445	0.0
00_1095600_segment_20_0	30.040816326530614	0.9510580897331238	0.19541554152965546	-14.190486907958984	0.0	-16.83010482788086	0.0	-24.65558624267578	0.0
00_1095600_segment_9_0	30.040816326530614	0.846319317817688	0.07205872982740402	-21.84248161315918	0.0	-21.47225570678711	0.0	-19.804027557373047	0.08
00_1096800_segment_0_0	30.040816326530614	0.9594753384590149	0.13045310974121094	-17.777116775512695	0.0	-19.09501838684082	0.0	-15.837616920471191	0.0
00_1096800_segment_1_0	30.040816326530614	0.9867749214172363	0.1947106420993805	-14.542095184326172	0.0	-11.10560417175293	0.0	-11.246831893920898	0.0
00_1100_segment_1_0	30.040816326530614	0.9880630970001221	0.21591252088546753	-13.655664443969727	0.0	-14.395599365234375	0.0	-14.004927635192871	0.0
00_1129800_segment_6_0	30.040816326530614	0.47330141067504883	0.07850465178489685	-16.05037498474121	0.0	-14.477529525756836	0.0	-15.181628227233887	0.0
00_1132200_segment_4_0	30.040816326530614	0.754055917263031	0.15061289072036743	-14.436355590820312	0.0	-17.26788330078125	0.0	-16.681236267089844	0.0
00_1133100_segment_30_0	30.040816326530614	0.3279689848423004	0.022987879812717438	-23.532203674316406	0.0	-18.68019676208496	0.0	-22.719717025756836	0.0
00_1134300_segment_7_0	30.040816326530614	0.9871139526367188	0.293026864528656	-10.994726181030273	0.0	-10.651666641235352	0.0	-11.27428913116455	0.0
00_1149700_segment_5_0	30.040816326530614	0.9971487522125244	0.25016990303993225	-12.456026077270508	0.0	-12.2141752243042	0.0	-13.62267017364502	0.0
00_1156400_segment_4_0	30.040816326530614	0.880504846572876	0.11776991188526154	-17.919475555419922	0.0	-17.839054107666016	0.0	-17.572832107543945	0.0
00_1158200_segment_9_0	30.040816326530614	0.6417714357376099	0.18022532761096954	-11.47681999206543	0.0	-11.612076759338379	0.0	-11.379148483276367	0.0
00_1162100_segment_0_0	30.040816326530614	0.993502140045166	0.15830090641975403	-16.39923667907715	0.0	-20.1523380279541	0.0	-20.112346649169922	0.0
00_1165400_segment_3_0	30.040816326530614	0.9718033671379089	0.18087074160575867	-15.049729347229004	0.0	-15.136428833007812	0.0	-14.837615966796875	0.0
00_116600_segment_3_0	30.040816326530614	0.5408070087432861	0.048514675348997116	-21.388912200927734	0.25	-28.059078216552734	0.17	-23.004215240478516	0.0
00_1167300_segment_0_0	30.040816326530614	0.953726589679718	0.09164339303970337	-20.79198455810547	0.01	-19.093212127685547	0.0	-19.14975929260254	0.0
00_1169400_segment_2_0	30.040816326530614	0.988005518913269	0.16962994635105133	-15.750664710998535	0.0	-15.991854667663574	0.0	-17.658687591552734	0.0
00_1169400_segment_6_0	30.040816326530614	0.9931236505508423	0.21089544892311096	-13.90424919128418	0.0	-13.983949661254883	0.0	-14.065610885620117	0.0
00_1169700_segment_2_0	30.040816326530614	0.9851884841918945	0.19585801661014557	-14.477088928222656	0.0	-15.778066635131836	0.0	-16.14133644104004	0.0
00_1170400_segment_2_0	30.040816326530614	0.7485016584396362	0.19428427517414093	-12.160630226135254	0.0	-11.327333450317383	0.0	-12.380413055419922	0.0
00_117100_segment_0_0	30.040816326530614	0.4920051395893097	0.09323033690452576	-14.893775939941406	0.12	-16.752946853637695	0.02	-14.57746696472168	0.0
00_1173500_segment_2_0	30.040816326530614	0.7944057583808899	0.12476199120283127	-16.524730682373047	0.0	-17.10223960876465	0.0	-16.815309524536133	0.0
